question_id,rag_context_sha256,top5_sha256
PL006_Construction_Q01,dc2fe9526046dcbd7fcca72a75d1de58773240ed68fbfe81e28cf9daf9f0efeb,7458fa7b726854142afc2c8559a3ddf020ce0df8358ee32e4baea1d884697a82
PL006_SourceStrength_Q01,a9d7951f997c81a20398d12de758800095f8e946b171f70a1d7d9c53d0ac3fc5,2d01fe1e8937eb4803744dd1783e8729bf3db13970c2fb0d1bc50b927f01d52e
PL006_CaptureEfficiency_Q01,cdf7876c53f2c2e510371d13904179e822d2486c65045ab94e6ff6c932fdc517,0c74c8cc13522b5fed9121e602b1f8c453141fbf272384e793840de4a4896b1a
PL006_ActivatedCarbon_Q01,18e1ff9d78a9ccc00130a09a686065a1adbecd7b094eac4993648632b62a5177,e61589fd90ef6b7a30487c79d4eed23817f2e320083c9d15bc476c1c0f852d02
PL007_Construction_Q01,f1b2955613c897222387516c5c252a927947350ff24936e427b07597add0535d,7b6d41b2c32af50857e387f0789101a5f123f8da38f1f877011f4a66e75f7090
PL007_SourceStrength_Q01,c2b5c48b84fbc9dcb02d3bab4914d0b9597f592fdfc7e3d8e87f72a11cb5410d,0cb3806bd7dcf7c6a645b914c477d42653cff639bc9548f5165c849e88594a81
PL007_DesignAirflow_Q01,bd076288961f0ad17ea494c1566cb429f132bf178582a7a87c6d6d61358c74c3,cf00f5c7df2e5c9aa5aa6fc3f2630e87932f15bbfd7eead4d456887ea9bbd013
PL007_CaptureEfficiency_Q01,dbeba3533e8d4b62a521a3534fb72bb000f8960b3017ce02477cbf2ab1bc83b6,56932b68a38001354128912dd84ed9586b4973132eb4e1907c410fbf067119c3
PL008_Construction_Q01,b0f7e7d3458b810a2db4042c7fe181067b33b4c036a92159d378305bc289b487,ae73227758490b0b3a011d494a70b5cd5058d721ab327191cb4e66774b26bce7
PL008_SourceStrength_Q01,2d3cc951edd538104385e0774b2d430d806685d8569aad421be45777cb455358,5185ef899050d691af4aa5512f390541a6c8febcb850e42fef8bf0d40436c666
PL008_DesignAirflow_Q01,5514935df26ea6bfdbbf83120daafdf90a7f6a0339dbbcfb38403deca4e6675c,89cf2553e72ebb9c69a78e5becb7eb6d83d847cf56dfc694300c49d9cf8141a8
PL008_VOCSTotal_Q01,b23adb99c6a8ddfa478c6eb2c6fa258fa51b4fbbe3f73c0a5284921c3f113920,66669459106f2e986d435e34b0f1afeb7944a2a20dfa1e9446757a9e92aae3fc
PL009_Construction_Q01,f9676fb44319acb4f4e56ed1c4523d2d35566d5b4fa681de1367e5d34809fae9,31ea9a523e9d90bd7c546dd41978ab40c46f567b66bb728433f5096edeb22e1c
PL009_Coefficient_Q01,e27ac601fbea3f40caff920d82ead0b3187d2c73d8aa8e8b85a6caa9cd781eef,549a91b5f2c297a2dce30c4b406695a683a79e8bde5057c01ce96909edf63605
PL009_DesignAirflow_Q01,5f2067fc7c9373034a228c25f5b3edc4f3331ec8e3c540faf17c378b78594831,aa55bbb772c1d55041e714e0d44eaac4cf981c37b759114328a790775114c53b
PL009_CaptureEfficiency_Q01,a78c467e3144775b2cb7d24afe834c71690848d3bb923b8ec18f29c22879af38,d52ae05e6190ca10df9a7b5ee9ddf10bcf5b5bf7b983bb8f193696b30f45faec
PL010_SourceStrength_Q01,fea40fe0b6e7a6c21ab8c6eaaa4a2c0bc5f79d1ac9bccbfd0a0e652041590d2a,74db36adfd59400ce4dfa0357af75b3f730c25b2b215212b7514de7cd9922009
PL010_Coefficient_Q01,bad7f9975431cd517dfd979a82d9d23b787a1aece26907c50037dc99bdcf08d8,206b6c2562e2f0f096cbcf3b745243d68f88994f50a32cf725d613fc39193696
PL010_CaptureAirflow_Q01,4b78aadd4655eff6b12bd8c8032beaa8631194927d1f7a9a0655050234a16fdd,73c80f35f937c1ac216e93107bcd6377bec0c426e59c7fbba6b7436375b26f38
PL010_VOCSTotal_Q01,559f9ea6e5fa354a144cf97d6d225734f80cbabf8542dedf6eda1584b60d8e9f,e591f5e2bfdd625081a5570037e40f01f527675bc85e9d9dd29f97fa3e61c651
PL011_Construction_Q01,2cc6682bbded4e0fe8ba1b154689825b93302d28c0d89fe2d9cdda542ccf96a8,4ad1f72ff6c5bff7078b8f19d01017376c427d0feb7bac234183b16fc8f9e2af
PL011_CaptureAirflow_Q01,872625d32fed07adc8f1fcf72b3bb2c53f78e07ac5a042de9ebf396834b6682f,35458c198cc105dfe166c8a9106a139cbcf16d80399b10f8032192104d3f19a5
PL011_ActivatedCarbon_Q01,36d38472d1b5e81533d535fad2c77b39e44925892ebce4b8ae0d60d424ebd975,2de711b18f20077d8134ebead530a69333278c0ce61b6ab7c96ed28967ca5777
