question_id,file,type,sha256,bytes
PL001_Emission_固体,E:\实验文件整理_按论文逻辑\07_评分与对比分析\48题_正式评分_20260822\judge_raw\PL001_Emission_固体.json,judge_raw,a3d39ff2d3f35a747d17a3e8aa7ac9ff349152a1485437a739961f12953bc73a,2245
PL001_Emission_固体,E:\实验文件整理_按论文逻辑\07_评分与对比分析\48题_正式评分_20260822\judge_parsed\PL001_Emission_固体.json,judge_parsed,6ac985567787bc4554fe036b96d2b37d10454e196a33f7a584d16161fb10bbcf,1855
PL001_EnvQuality_Q01,E:\实验文件整理_按论文逻辑\07_评分与对比分析\48题_正式评分_20260822\judge_raw\PL001_EnvQuality_Q01.json,judge_raw,d374d2fed06bb69ea44922b3d22680356ded6deaa73ab58bf18e737faa2eb8eb,2129
PL001_EnvQuality_Q01,E:\实验文件整理_按论文逻辑\07_评分与对比分析\48题_正式评分_20260822\judge_parsed\PL001_EnvQuality_Q01.json,judge_parsed,9ebe1f765e59d40484c36c1089803db2784ccfe5264d60f6dc29ea54e8e84348,1738
PL001_V01_Q01,E:\实验文件整理_按论文逻辑\07_评分与对比分析\48题_正式评分_20260822\judge_raw\PL001_V01_Q01.json,judge_raw,3b0bdabb9448b5cad0ee9809d23b3b9463493eee26fbe72ee725c7a19b06bef6,2037
PL001_V01_Q01,E:\实验文件整理_按论文逻辑\07_评分与对比分析\48题_正式评分_20260822\judge_parsed\PL001_V01_Q01.json,judge_parsed,dc74a2189984b6933c59afb068709792240691f1dce63979b50edd6da4d41575,1638
PL002_Emission_噪声,E:\实验文件整理_按论文逻辑\07_评分与对比分析\48题_正式评分_20260822\judge_raw\PL002_Emission_噪声.json,judge_raw,ed025a75e3d6a810c89a9d975532110ff2f5f009da96ea6e5b8a1f9f0c299a1c,2105
PL002_Emission_噪声,E:\实验文件整理_按论文逻辑\07_评分与对比分析\48题_正式评分_20260822\judge_parsed\PL002_Emission_噪声.json,judge_parsed,e8c16d8605618edbb611330713672532bbb09243891b00db77c9ec8f9d12373c,1715
PL002_Emission_固体,E:\实验文件整理_按论文逻辑\07_评分与对比分析\48题_正式评分_20260822\judge_raw\PL002_Emission_固体.json,judge_raw,37e2bde8040d68ccf24e46d2c936cded02cc051cba8f6892870ada953787a6af,2331
PL002_Emission_固体,E:\实验文件整理_按论文逻辑\07_评分与对比分析\48题_正式评分_20260822\judge_parsed\PL002_Emission_固体.json,judge_parsed,bcc42ac0ee1f3c15640a292b33a7d83610efc74343b87ab99f86b621288cea58,1941
PL002_Emission_大气,E:\实验文件整理_按论文逻辑\07_评分与对比分析\48题_正式评分_20260822\judge_raw\PL002_Emission_大气.json,judge_raw,c4404cbe6ed87ead3a90696b40c6288f9585a28091a950c206ac8d890e1ed05c,2236
PL002_Emission_大气,E:\实验文件整理_按论文逻辑\07_评分与对比分析\48题_正式评分_20260822\judge_parsed\PL002_Emission_大气.json,judge_parsed,5abb90fef612ab934fd3b70a71fbec4479cdeb24826366ce3db4a2689a8df621,1846
PL002_EnvQuality_Q01,E:\实验文件整理_按论文逻辑\07_评分与对比分析\48题_正式评分_20260822\judge_raw\PL002_EnvQuality_Q01.json,judge_raw,0c60dc9d6ce24eeebd8e7219e007a31a2ad7d3661323d127b0cd5a6b728b8884,2362
PL002_EnvQuality_Q01,E:\实验文件整理_按论文逻辑\07_评分与对比分析\48题_正式评分_20260822\judge_parsed\PL002_EnvQuality_Q01.json,judge_parsed,02aab3da3f7028e756f0783a678683b72c7e51c5d2ac03777ed04804edeeee0f,1941
PL002_V01_Q01,E:\实验文件整理_按论文逻辑\07_评分与对比分析\48题_正式评分_20260822\judge_raw\PL002_V01_Q01.json,judge_raw,e804ffc61a9643e7d4d4b95ded96f3dfa9fd37f94660892bd4c8431419144c66,2304
PL002_V01_Q01,E:\实验文件整理_按论文逻辑\07_评分与对比分析\48题_正式评分_20260822\judge_parsed\PL002_V01_Q01.json,judge_parsed,3a00ab9007fd43bf92ac03230473d6218aa2a23a0f5ac16547aa29a8cd50340c,1906
PL003_Emission_噪声,E:\实验文件整理_按论文逻辑\07_评分与对比分析\48题_正式评分_20260822\judge_raw\PL003_Emission_噪声.json,judge_raw,52b35d939e0c5dfe113beaac2920888a553c12ce673b29258b83fb2fae142a46,2169
