category,object_type,object_id,file_path,file_name,size_bytes,modified_time,sha256
gold_label,gold_master,questions_v2,E:\实验文件整理_按论文逻辑\实验\02_evaluation_set\pilot16_questions_v2.xlsx,pilot16_questions_v2.xlsx,26122,2026-09-02T11:19:01.379282,fc710d415e454ab8196017d9c3de36bff9697ee41257ecb2742604e5c1b3d9f5
gold_label,gold_template,gold_freeze_template,E:\实验文件整理_按论文逻辑\实验\02_evaluation_set\pilot17_gold_freeze_template.xlsx,pilot17_gold_freeze_template.xlsx,14148,2026-09-03T11:02:57.883310,eb3364b157c56c17ec4fb26f52f97d1e8aed664a52b251f54cbc26dfbcbcbd7a
gold_label,gold_ai_checked,gold_ai_precheck_20260902,E:\实验文件整理_按论文逻辑\实验\02_evaluation_set\Pilot17_金标原文核验_AI预核查版_20260902.xlsx,Pilot17_金标原文核验_AI预核查版_20260902.xlsx,19201,2026-09-03T11:35:40.924959,49c09690ccfd21e5b8caf07147e158a824fdd221716dda2cef9269480a5a4867
gold_label,gold_ai_checked,gold_ai_prechecked,E:\实验文件整理_按论文逻辑\实验\02_evaluation_set\pilot17_gold_ai_prechecked.xlsx,pilot17_gold_ai_prechecked.xlsx,19194,2026-09-03T11:38:18.120997,1be3c84b5686dc60fab0a6bfb4fb69e4c59f95c81ef42b959bdf84063e4430e1
gold_label,gold_historical,gold_review_v2,E:\实验文件整理_按论文逻辑\实验\02_evaluation_set\pilot16_gold_review_v2.xlsx,pilot16_gold_review_v2.xlsx,14764,2026-09-02T10:44:50.864186,e3a4d92a45dba05e7a1066ce6ef41fbd33fb59336665c2a7d784ffcbd111dcea
original_word,word_report,PL001,E:\实验文件整理_按论文逻辑\实验\09_input_reports\原始Word版\PL001_佛山市亮正新材料有限公司新建项目_01_核查材料.docx,PL001_佛山市亮正新材料有限公司新建项目_01_核查材料.docx,26610714,2026-07-23T10:07:31.532598,d76661e28d292bc87871559ffe370a3ec276dbb61074619a8d083bb8d12685f0
original_word,word_report,PL002,E:\实验文件整理_按论文逻辑\实验\09_input_reports\原始Word版\PL002_佛山市顺德区启卓工程塑料实业有限公司搬迁项目_01_核查材料.docx,PL002_佛山市顺德区启卓工程塑料实业有限公司搬迁项目_01_核查材料.docx,21156343,2026-07-23T10:10:10.883431,f35f2d3df9169bf7000427ee5af2cf9f19b70ab106023e7d2819e411849d7603
original_word,word_report,PL004,E:\实验文件整理_按论文逻辑\实验\09_input_reports\原始Word版\PL004_恒励新材料科技(佛山)有限公司新建项目_01_核查材料.docx,PL004_恒励新材料科技(佛山)有限公司新建项目_01_核查材料.docx,13100481,2026-07-23T10:13:27.050448,46374ed7d913ed5156526506a59d89fd3c248636242355de862192a826def2ad
original_word,word_report,PL005,E:\实验文件整理_按论文逻辑\实验\09_input_reports\原始Word版\PL005_佛山市润特龙清洁用品有限公司新建项目_01_核查材料.docx,PL005_佛山市润特龙清洁用品有限公司新建项目_01_核查材料.docx,28830535,2026-07-23T10:23:02.362919,24451d8df6b7fc18aa4bc268b1ff4e0c3c3006566abd4f879a4af264fb1c2feb
original_word,word_report,PL006,E:\实验文件整理_按论文逻辑\实验\09_input_reports\原始Word版\PL006_佛山市顺德区乐鲸科技有限公司年产五金拉手300万个新建项目_01_修改评估意见.docx,PL006_佛山市顺德区乐鲸科技有限公司年产五金拉手300万个新建项目_01_修改评估意见.docx,12228772,2024-03-08T14:36:00,c71135d106cea12f525aecaa2583dbf270cf12abe4df0a190f717f7ba601ab9f
